author,updated_at,like_count,comments,public
@Brandon-ik6ty,2023-11-03T15:56:04Z,0,I want the book! Theory of Hanging Out,True
@Sharpzilla,2023-11-03T15:20:33Z,0,My fsvourite food programme,True
@masutakh2917,2023-11-03T13:28:37Z,1,"1:35 always doubt and find out about what you are told, especially in France where we love to debate, you will be asked to support and prove this kind of bullshit.",True
@kaids1217,2023-11-02T13:56:56Z,0,love clovis but his wine wasn't all that bro,True
@happyxreal8323,2023-11-02T08:53:40Z,0,this is how i want to live my life honestly,True
@ec6678,2023-11-02T03:13:54Z,0,Action is like the next Bourdain,True
@itsyagirlnattv6309,2023-11-02T01:54:26Z,0,I’m so good at hanging out😂,True
@erasmus763,2023-11-01T21:42:57Z,0,Paraboots 🔥,True
@Ngamer-me2dv,2023-11-01T19:39:13Z,0,you really need to come to Marseille and Nice,True
@Ghost-tt7vv,2023-11-01T18:38:31Z,0,Man I love Clovis and action together,True
@1985pza,2023-11-01T18:19:00Z,0,1:15 fat guy was in Poland for once?,True
@nathaneinschlag3948,2023-11-01T17:26:39Z,0,we need body,True
@papsbaraedi200,2023-11-01T16:00:50Z,0,Is it just me or are these guys drinking A LOT of alcohol 😅,True
@whatthehoeck,2023-11-01T15:54:16Z,0,I am ready for hanging out 101,True
@janbosbruijn5583,2023-11-01T11:07:54Z,0,He should've opened with his famous 'oui oui motherfuckers',True
@pablofroment8903,2023-11-01T05:31:29Z,0,Vive panam,True
@loveinthematrix,2023-10-31T23:09:07Z,0,It was indeed a complicate summer ❤️😂,True
@aanntthhoonnyy,2023-10-31T22:18:28Z,0,Action looking good. Keep it up,True
@natestafford72,2023-10-31T17:39:53Z,0,"I'm here for the athletics, baby!",True
@Jamex2game,2023-10-31T17:38:32Z,0,"Alors pour commencer c'est quoi se vin !?
le poulet j'ai cru que les dents allait lâcher mdr",True
@TheKozlow,2023-10-31T08:51:12Z,0,"Keep them coming, my friend!",True
@HandyDandy6,2023-10-31T05:23:02Z,0,Action talks like trump if he was smoking on the cheeba,True
@marcoechavarria7274,2023-10-31T03:53:18Z,0,A very complicate summer indeed .,True
@JThor1984,2023-10-31T02:33:35Z,0,Action was looking a little faded in the opening scenes here😂,True
@yadadameanie,2023-10-31T01:09:40Z,0,❤❤❤😊❤❤ fancy Spansi,True
@YehudaManusama,2023-10-31T00:38:18Z,0,Love ❤,True
@boi4354,2023-10-31T00:23:10Z,0,NO FUCKING WAY IVE BEEN WAITING FOR ANOTHER PARIS VID FOR YEARS,True
@eatass5627,2023-10-30T22:44:41Z,0,The new bordain,True
@samorenpalmer,2023-10-30T14:46:03Z,0,Best food weed rap show around,True
@pennywise1682,2023-10-30T14:40:02Z,0,"Love from Germany! Come over abd check out Berlin, some nice places there.",True
@Thesecretfamous,2023-10-30T12:06:24Z,0,I'M WATCHING THIS WHILE I'M EATING.. I'M STILL HUNGRY,True
@Pure_taste,2023-10-30T11:54:20Z,0,From Saudi Arabia 🇸🇦 🫶🏻,True
@Poznannawidelcu,2023-10-30T11:24:50Z,0,Confusion at 1:38. Great episode!,True
@Galatic56782,2023-10-30T07:34:38Z,0,"Why would you speak of children when your drinking  red wine..you need to put your red shoes on
.",True
@Galatic56782,2023-10-30T07:30:42Z,0,Adrenachrom,True
@Galatic56782,2023-10-30T07:28:10Z,0,CT,True
@Galatic56782,2023-10-30T07:27:48Z,0,Micheal jordan..is like Oprah,True
@Galatic56782,2023-10-30T07:26:33Z,0,Ear lobes....,True
@paulburket,2023-10-30T05:36:21Z,0,Nobody chills like my dad. He’s in the morgue right now haha 😭,True
@xtrachromyhomie9720,2023-10-30T00:15:21Z,0,I love this channel man! 😂,True
@MrDsotm08,2023-10-29T22:57:58Z,0,"i pay youtube for this, love it",True
@artemface,2023-10-29T21:10:07Z,0,Part 2 of this is such a saviour to the world rn,True
@inchefnito6737,2023-10-29T20:37:53Z,0,"Literally the best show that's out,next level anthony bourdain shit",True
@Magneticvortex-kk4gb,2023-10-29T19:52:28Z,0,Action always looks happiest in Paris to me. Must be some really good wine.,True
@user-wh4db4yi9z,2023-10-29T18:49:15Z,0,The best,True
@yakoubyakoub9315,2023-10-29T18:14:32Z,0,Paris is the most beautiful city in the world. And look at the people and the food! We're going to Early June for sure next time we're in Paris. Peace.,True
@dokai5253,2023-10-29T17:59:02Z,0,love the video as always but who's gonna tell him arrivederci is italian 😭,True
@RM-qn3ro,2023-10-29T17:51:38Z,0,9:30 GOT ME SHIVERING,True
@RM-qn3ro,2023-10-29T17:47:59Z,0,"Those are Paraboots, finnest french shoes.",True
@McMillanEwan,2023-10-29T16:35:39Z,1,"Keep making these dude, such great content not only for the food but the rich social aspect of it. Looks so fun!",True
@miltonclark1526,2023-10-29T16:27:46Z,0,Where's the old crew? Hope erbody good. Baklava!,True
@mickthurston9883,2023-10-29T14:35:37Z,0,Excellent show. Unfiltered wine what bliss. Mick Thurston London,True
@dchico3471,2023-10-29T12:24:46Z,0,Action looks like a fatter Tom hardy,True
@bigothekid1272,2023-10-29T04:55:17Z,0,"Why you speaking in Italian for a French video, can't wait though",True
@goyofoyo,2023-10-29T00:55:47Z,1,"This was too short, need more",True
@lauralucas8634,2023-10-28T22:21:02Z,0,"""All I really care about it hanging out"" 😂",True
@harveyweinbergenstein3849,2023-10-28T19:27:49Z,0,Glad to see Clovis recovering from the Syphillis 🙏,True
@raulsalgueiro3744,2023-10-28T19:24:36Z,0,We need Action on The Bear season 3,True
@tsgthesleepinggiant,2023-10-28T18:15:00Z,0,Why you gotta blur Clovis enjoying his sigarettes?? it is a big part of him as a person and the french culture. Let the man enjoy his tobacco unblurred! xD,True
@thed00d,2023-10-28T15:15:33Z,0,"YO SON, THE WINE IS MAD CRAZY. THE CHEESE? KID YOU GOTTA BE JOKIN. THE SAUCE??? THE SAUCE??? NAH SON YOUR WILDIN. FLUSHING STAND UP!",True
@tyronebennett5223,2023-10-28T15:00:06Z,0,The pause that Action took when he heard the story about the man drinking his own piss. 😂😂,True
@R.J.1,2023-10-28T09:56:01Z,0,Couldn't even imagine how dope this is,True
@kitchoundales,2023-10-28T08:35:01Z,0,C’est ptet bien vos conneries de hipster mais présente lui la cuisine française le cheveulu,True
@kitchoundales,2023-10-28T08:26:05Z,1,C’est quoi ça « le retours » y’a pas de s mongole,True
@kitchoundales,2023-10-28T08:24:38Z,0,Salut mec t’es trop fort et un peu gros je t’aime,True
@krusty0072,2023-10-28T08:01:53Z,0,Recommend an e-shop with natural wine that ships to Europe. Thanks guys,True
@bens2390,2023-10-28T07:43:02Z,0,Please start taking Mayhem out again. You 2 are so funny together,True
@bradleyfjackson,2023-10-28T06:37:07Z,0,Can someone explain to me the reason behind blurring out a cigarette?,True
@pilouraph,2023-10-28T03:40:46Z,0,"Oh boy I missed you guys. Aged liked fine wine, feels like summer is back!",True
@RkJ0809,2023-10-28T02:38:26Z,0,"Crazy you’re eating authentic Chinese in France. That’s my favorite cuisine as of now. Ginger, chive/spring onion and boiled chicken is so damn good.",True
@chrisbanner7551,2023-10-27T23:40:18Z,0,A very complicate summer,True
@daytonasayswhat9333,2023-10-27T23:20:05Z,0,Piss drinking is not good for you.,True
@p.j.floridavibes8643,2023-10-27T22:56:50Z,0,"Yo, you don’t know how long I’ve been waiting for this episode !!!!!…much love from Florida land of Là big titties and phone scams!",True
@SilverrrCityyy,2023-10-27T21:34:04Z,0,THE GUYS ARE BACK!,True
@xaviermccloud4586,2023-10-27T21:27:43Z,0,Action Bronson is slowly turning into a hipster. That Poppa Wu effect huh?,True
@rodneybiltman2005,2023-10-27T21:14:38Z,0,LOVE this! So glad to see you back in Paris with Clovis!,True
@brianperez1563,2023-10-27T21:08:45Z,1,From Paris with love is back! Clovis is a fucking national treasure.,True
@frankpaulin5211,2023-10-27T20:50:01Z,0,clovis looks like he lives the best life just getting smashed all day !!!!!,True
@Cam-xg9gu,2023-10-27T20:48:28Z,0,Who doesn’t love a good Jean-Claude Van Dam flick… let alone in Paris. Classic.,True
@Beaufortlawrence,2023-10-27T20:40:57Z,1,“All I really care about is hanging out”.  Encapsulates the philosophy of being present for the experience of life in a way only action can do😎,True
,2023-10-27T20:26:48Z,1,"You should really try to bring Boris Diaw on one of these... Absolute chill  fellow, lover of good and beatiful things...",True
@generalaxel,2023-10-27T20:07:33Z,0,"*like* before even watching it.
Fucking great! Love to have the series back in Paris.
Cool new thing with the restaurant names, wineries and their wines, really appreciate it.",True
@AnonymeExtra,2023-10-27T20:06:34Z,0,"I'm from Paris and it's always a pleasure to visit New York. In general, I've always found its inhabitants very friendly.",True
@thriftytarheel4754,2023-10-27T19:00:46Z,0,I gotta fever and the only cure is MORE CLOVIS,True
@dioris8,2023-10-27T18:08:49Z,0,How does this man not have his own streaming show already?,True
@ShinobiKingYT,2023-10-27T17:08:10Z,0,To think that all this started from rappin day dreams and smoking herb with fury 👊🏾😎🇺🇸. Mixtape Bronson,True
@dennisflechtner8784,2023-10-27T16:39:30Z,1,Clovis + Action = Fire!,True
@venadacent7696,2023-10-27T16:21:21Z,0,"Would love to hangout with you, AB 😃",True
@joeberma2007,2023-10-27T16:07:26Z,0,Where’s part une?,True
@Masterslessons,2023-10-27T16:05:49Z,0,All I see is heart disease,True
@knabberboxbro,2023-10-27T14:40:02Z,0,lOoK aT tHaT cHiCkEn sKiN,True
@vincentsoares836,2023-10-27T14:39:12Z,1,Cant wait for the next episods! Bienvenue à Paris ✌️🇫🇷,True
@vincentsoares836,2023-10-27T14:37:22Z,1,🙌🙌🙌🇫🇷🇫🇷🇫🇷,True
@letspetpuppies,2023-10-27T12:25:21Z,0,no socks is nutty,True
@dafferslittle-jones7447,2023-10-27T11:14:45Z,0,Best sequel since Terminator 2.,True
@HeadshotLocke,2023-10-27T09:55:17Z,0,Clovis lives!,True
@Vulcano92,2023-10-27T09:49:56Z,3,"See, this is how you should visit Paris. Local restaurants, bars, cafés, have a chat with the locals, stay away from the crappy tourist areas, they're NOT Paris. Paris is not a museum, nor a monument, it's a lifestyle, you don't ""visit"" Paris, you live Paris",True
@michaell4262,2023-10-27T09:21:01Z,0,Het Bourgondische leven zoals het bedoeld is.kom eens naar Amsterdam  dan laat ik je het Bourgondische leven hier zien.4 uurtjes met de auto van Parijs,True
@jacobmoore6500,2023-10-27T09:03:25Z,1,Clovis + Action in Paris is and always wil be my favourite thing on youtube,True
@premelosv,2023-10-27T08:56:03Z,0,PLEASE GO TO EVERY COUNTRY FOR THIS SERIES😩,True
@jwilliams6286,2023-10-27T07:20:23Z,3,nothing more authentic than a polish dude cooking chinese in france...,True
@victorvenet5623,2023-10-27T05:46:57Z,0,Something happend when those two guys are together ! ❤️,True
@cheezytacos,2023-10-27T04:34:49Z,1,Beautiful episode. There’s so many things I missed when I went to Paris years back. Makes me wanna go again,True
@yogi6917,2023-10-27T04:13:46Z,0,"Glad to see Action packin' on the pounds again. Live your truth, king.",True
@brandonschellhase,2023-10-27T02:09:56Z,1,This is the show that the world needs!Man I missed this show! Long live Bam Bam! ✌️&❤,True
@lfeazell01,2023-10-27T01:32:28Z,0,best series on youtube.,True
@Sarahvinyl,2023-10-27T00:59:01Z,0,🔥🔥🔥🔥,True
@MM-ux7kp,2023-10-27T00:57:25Z,0,DONT DRINK PISS. LOOK IT UP,True
@kaelnahom1926,2023-10-27T00:41:48Z,3,Might be one of my favorite episodes of FTD ever. Vibes are unmatched,True
@sunnydaysoff,2023-10-27T00:27:08Z,0,love love love this,True
@e-ross5893,2023-10-27T00:23:34Z,0,The poland spring bottle analogy was wild 😂,True
